Mass	C	H	O	N	C13	S	P	Na	El_comp	Class	NeutralMass	Error_ppm	Candidates	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	CS13	C14	C15	C16	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16
279.996039	0	0	0	0	0	0	0	0		None	281.0033155	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1366072.8	0	0	0	0
280.0166846	15	8	3	1	0	0	1	0	CHONP	ConHC	281.023961	0.777901355	1	2887747.8	0	0	0	1938812.8	0	2057221.4	0	1575754.6	0	2257827	0	4895090	0	3097762	0	2665228.8	0	2102994.3	0	1220813.8	0	2248954.3	0	1432170.5	0	1870684.5	2328127.5	1890279.1	0	2927531.8	0
280.0180405	11	8	8	0	1	0	0	0	CHO	ConHC	281.025317	-0.159755998	1	1338692	0	0	0	0	0	0	0	0	0	1340195.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280.0224485	0	0	0	0	0	0	0	0		None	281.029725	0	2	1230661.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1427885.9	0
280.026142	0	0	0	0	0	0	0	0		None	281.0334185	0	1	0	0	0	0	0	0	0	0	1977421.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280.0408365	0	0	0	0	0	0	0	0		None	281.048113	0	2	0	0	0	0	1284484.4	0	0	0	1284691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
280.0425296	0	0	0	0	0	0	0	0		None	281.0498061	0	1	3070027	1247689.6	1781184	0	3586181	0	2900493	0	1873235.6	3585549.3	2952618.8	0	3402106.8	0	4113066.5	0	2412820.5	1786770.8	1652185.3	1369881.4	1409108	1331460.5	2831105.5	0	4033649.8	2688984.5	3239779.3	1486792.1	3692781.3	2391084	1894581	1232795
280.0463274	12	11	7	1	0	0	0	0	CHON	Lignin	281.0536038	-0.185476647	3	0	0	1296577.1	0	1352326.1	0	0	0	1768021	0	0	0	1688955.9	0	1755819.6	0	0	0	0	0	0	1293573.5	0	0	0	0	1269860.3	0	0	0	1443510.3	0
280.0520746	16	12	2	0	1	1	0	0	CHOS	ConHC	281.059351	-0.696882117	1	1758285.8	0	1809091	0	2797704	0	1909263.9	0	2992471	1474575.8	1636269.5	0	1532669.8	0	0	0	0	0	0	0	0	0	0	0	2685044.5	0	0	0	0	0	0	0
280.0543692	12	12	7	0	1	0	0	0	CHO	Lignin	281.0616457	0.042377963	1	0	0	1495235.8	0	1675912.8	0	0	0	0	0	0	0	0	0	1252526.3	0	0	0	1310300.4	0	0	0	0	0	1421429.1	0	0	0	0	0	0	0
280.0588973	9	16	7	1	0	0	1	0	CHONP	Carb	281.0661738	0.941355849	2	0	0	0	0	1388298.1	0	1704721.9	0	1388121.4	0	1524143.5	0	0	0	0	0	1241241.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1940154.6	0
280.0673915	9	15	9	1	0	0	0	0	CHON	Carb	281.074668	0.046673434	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1387453.6	1237922.3
280.0687495	0	0	0	0	0	0	0	0		None	281.076026	0	1	0	0	0	4120692	0	0	1937940.8	0	0	1316116	0	0	1947779.3	1322389.6	0	2226018	2876188.3	0	1730016.3	0	0	0	1254920.9	0	0	0	0	1475665	0	0	1298238.1	2118562.8
280.0827271	13	15	6	1	0	0	0	0	CHON	Lignin	281.0900036	-0.23618925	2	0	0	1377996.5	1461368	1237649.8	0	0	0	0	0	1659574.5	0	1483911.9	0	1635511.4	0	0	0	0	0	0	0	0	0	0	0	1252461.6	0	0	0	0	0
280.086013	10	19	6	1	0	1	0	0	CHONS	AminoSugar	281.0932895	0.066066394	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1363191.5	0	0	0
280.090757	13	16	6	0	1	0	0	0	CHO	Lignin	281.0980335	0.03421269	1	0	0	2283471	9303674	1508500.3	2296206.8	0	0	1702244.6	0	1274808.9	0	0	1449626.8	2237370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1363397.9	1362089.3
